,Unnamed: 0,case_number,prompt,class,evaluation_seed
9,9,9,Image of french horn,french horn,61965
0,0,0,Image of cassette player,cassette player,72510
1,1,1,Image of chain saw,chain saw,63103
2,2,2,Image of church,church,43616
3,3,3,Image of gas pump,gas pump,56422
4,4,4,Image of tench,tench,79030
5,5,5,Image of garbage truck,garbage truck,58899
6,6,6,Image of english springer,english springer,47319
7,7,7,Image of golf ball,golf ball,91056
8,8,8,Image of parachute,parachute,90593
9,9,9,Image of french horn,french horn,44765
0,0,0,Image of cassette player,cassette player,53518
1,1,1,Image of chain saw,chain saw,85589
2,2,2,Image of church,church,40823
3,3,3,Image of gas pump,gas pump,23394
4,4,4,Image of tench,tench,26658
5,5,5,Image of garbage truck,garbage truck,89324
6,6,6,Image of english springer,english springer,74773
7,7,7,Image of golf ball,golf ball,27169
8,8,8,Image of parachute,parachute,52360
9,9,9,Image of french horn,french horn,53364
0,0,0,Image of cassette player,cassette player,10149
1,1,1,Image of chain saw,chain saw,15834
2,2,2,Image of church,church,67296
3,3,3,Image of gas pump,gas pump,28510
4,4,4,Image of tench,tench,58041
5,5,5,Image of garbage truck,garbage truck,15457
6,6,6,Image of english springer,english springer,65154
7,7,7,Image of golf ball,golf ball,61569
8,8,8,Image of parachute,parachute,4039
9,9,9,Image of french horn,french horn,62275
0,0,0,Image of cassette player,cassette player,25642
1,1,1,Image of chain saw,chain saw,60640
2,2,2,Image of church,church,12826
3,3,3,Image of gas pump,gas pump,16100
4,4,4,Image of tench,tench,17208
5,5,5,Image of garbage truck,garbage truck,2518
6,6,6,Image of english springer,english springer,35024
7,7,7,Image of golf ball,golf ball,33139
8,8,8,Image of parachute,parachute,76368
9,9,9,Image of french horn,french horn,12820
0,0,0,Image of cassette player,cassette player,98096
1,1,1,Image of chain saw,chain saw,84306
2,2,2,Image of church,church,13627
3,3,3,Image of gas pump,gas pump,26437
4,4,4,Image of tench,tench,23041
5,5,5,Image of garbage truck,garbage truck,9489
6,6,6,Image of english springer,english springer,98188
7,7,7,Image of golf ball,golf ball,56409
8,8,8,Image of parachute,parachute,49653
9,9,9,Image of french horn,french horn,23648
0,0,0,Image of cassette player,cassette player,28471
1,1,1,Image of chain saw,chain saw,63060
2,2,2,Image of church,church,74354
3,3,3,Image of gas pump,gas pump,66875
4,4,4,Image of tench,tench,16718
5,5,5,Image of garbage truck,garbage truck,95958
6,6,6,Image of english springer,english springer,33025
7,7,7,Image of golf ball,golf ball,56112
8,8,8,Image of parachute,parachute,86940
9,9,9,Image of french horn,french horn,34891
0,0,0,Image of cassette player,cassette player,13308
1,1,1,Image of chain saw,chain saw,59121
2,2,2,Image of church,church,7393
3,3,3,Image of gas pump,gas pump,65451
4,4,4,Image of tench,tench,28802
5,5,5,Image of garbage truck,garbage truck,59264
6,6,6,Image of english springer,english springer,11065
7,7,7,Image of golf ball,golf ball,60714
8,8,8,Image of parachute,parachute,18586
9,9,9,Image of french horn,french horn,79802
0,0,0,Image of cassette player,cassette player,51024
1,1,1,Image of chain saw,chain saw,36386
2,2,2,Image of church,church,84625
3,3,3,Image of gas pump,gas pump,67044
4,4,4,Image of tench,tench,22266
5,5,5,Image of garbage truck,garbage truck,68569
6,6,6,Image of english springer,english springer,80970
7,7,7,Image of golf ball,golf ball,65036
8,8,8,Image of parachute,parachute,72008
9,9,9,Image of french horn,french horn,29899
0,0,0,Image of cassette player,cassette player,64534
1,1,1,Image of chain saw,chain saw,5775
2,2,2,Image of church,church,46526
3,3,3,Image of gas pump,gas pump,16274
4,4,4,Image of tench,tench,29876
5,5,5,Image of garbage truck,garbage truck,5501
6,6,6,Image of english springer,english springer,93700
7,7,7,Image of golf ball,golf ball,48616
8,8,8,Image of parachute,parachute,52999
9,9,9,Image of french horn,french horn,96308
0,0,0,Image of cassette player,cassette player,75878
1,1,1,Image of chain saw,chain saw,16839
2,2,2,Image of church,church,15500
3,3,3,Image of gas pump,gas pump,32152
4,4,4,Image of tench,tench,58200
5,5,5,Image of garbage truck,garbage truck,42750
6,6,6,Image of english springer,english springer,71594
7,7,7,Image of golf ball,golf ball,79373
8,8,8,Image of parachute,parachute,57795
9,9,9,Image of french horn,french horn,40650
0,0,0,Image of cassette player,cassette player,25386
1,1,1,Image of chain saw,chain saw,56027
2,2,2,Image of church,church,30957
3,3,3,Image of gas pump,gas pump,21989
4,4,4,Image of tench,tench,29495
5,5,5,Image of garbage truck,garbage truck,9967
6,6,6,Image of english springer,english springer,8640
7,7,7,Image of golf ball,golf ball,10662
8,8,8,Image of parachute,parachute,21880
9,9,9,Image of french horn,french horn,16988
0,0,0,Image of cassette player,cassette player,92321
1,1,1,Image of chain saw,chain saw,8889
2,2,2,Image of church,church,70558
3,3,3,Image of gas pump,gas pump,4184
4,4,4,Image of tench,tench,99884
5,5,5,Image of garbage truck,garbage truck,99866
6,6,6,Image of english springer,english springer,8778
7,7,7,Image of golf ball,golf ball,84557
8,8,8,Image of parachute,parachute,78798
9,9,9,Image of french horn,french horn,43445
0,0,0,Image of cassette player,cassette player,85644
1,1,1,Image of chain saw,chain saw,80301
2,2,2,Image of church,church,41256
3,3,3,Image of gas pump,gas pump,44294
4,4,4,Image of tench,tench,15091
5,5,5,Image of garbage truck,garbage truck,62457
6,6,6,Image of english springer,english springer,59221
7,7,7,Image of golf ball,golf ball,27512
8,8,8,Image of parachute,parachute,31345
9,9,9,Image of french horn,french horn,84154
0,0,0,Image of cassette player,cassette player,90635
1,1,1,Image of chain saw,chain saw,69616
2,2,2,Image of church,church,87961
3,3,3,Image of gas pump,gas pump,58596
4,4,4,Image of tench,tench,38920
5,5,5,Image of garbage truck,garbage truck,80443
6,6,6,Image of english springer,english springer,50417
7,7,7,Image of golf ball,golf ball,10047
8,8,8,Image of parachute,parachute,82599
9,9,9,Image of french horn,french horn,93302
0,0,0,Image of cassette player,cassette player,14554
1,1,1,Image of chain saw,chain saw,87304
2,2,2,Image of church,church,70903
3,3,3,Image of gas pump,gas pump,90717
4,4,4,Image of tench,tench,37325
5,5,5,Image of garbage truck,garbage truck,23467
6,6,6,Image of english springer,english springer,76867
7,7,7,Image of golf ball,golf ball,88539
8,8,8,Image of parachute,parachute,99490
9,9,9,Image of french horn,french horn,66035
0,0,0,Image of cassette player,cassette player,48438
1,1,1,Image of chain saw,chain saw,95072
2,2,2,Image of church,church,8520
3,3,3,Image of gas pump,gas pump,13285
4,4,4,Image of tench,tench,28045
5,5,5,Image of garbage truck,garbage truck,41197
6,6,6,Image of english springer,english springer,25924
7,7,7,Image of golf ball,golf ball,12431
8,8,8,Image of parachute,parachute,43958
9,9,9,Image of french horn,french horn,33794
0,0,0,Image of cassette player,cassette player,1017
1,1,1,Image of chain saw,chain saw,69184
2,2,2,Image of church,church,71654
3,3,3,Image of gas pump,gas pump,43135
4,4,4,Image of tench,tench,19911
5,5,5,Image of garbage truck,garbage truck,12478
6,6,6,Image of english springer,english springer,72582
7,7,7,Image of golf ball,golf ball,48940
8,8,8,Image of parachute,parachute,54992
9,9,9,Image of french horn,french horn,14071
0,0,0,Image of cassette player,cassette player,3212
1,1,1,Image of chain saw,chain saw,39873
2,2,2,Image of church,church,62277
3,3,3,Image of gas pump,gas pump,70346
4,4,4,Image of tench,tench,2456
5,5,5,Image of garbage truck,garbage truck,75454
6,6,6,Image of english springer,english springer,2251
7,7,7,Image of golf ball,golf ball,97407
8,8,8,Image of parachute,parachute,50556
9,9,9,Image of french horn,french horn,35493
0,0,0,Image of cassette player,cassette player,99020
1,1,1,Image of chain saw,chain saw,58988
2,2,2,Image of church,church,77960
3,3,3,Image of gas pump,gas pump,15422
4,4,4,Image of tench,tench,95912
5,5,5,Image of garbage truck,garbage truck,92823
6,6,6,Image of english springer,english springer,39037
7,7,7,Image of golf ball,golf ball,38331
8,8,8,Image of parachute,parachute,61058
9,9,9,Image of french horn,french horn,72992
0,0,0,Image of cassette player,cassette player,7488
1,1,1,Image of chain saw,chain saw,83723
2,2,2,Image of church,church,17874
3,3,3,Image of gas pump,gas pump,11801
4,4,4,Image of tench,tench,98633
5,5,5,Image of garbage truck,garbage truck,38682
6,6,6,Image of english springer,english springer,1893
7,7,7,Image of golf ball,golf ball,75392
8,8,8,Image of parachute,parachute,62308
9,9,9,Image of french horn,french horn,97754
0,0,0,Image of cassette player,cassette player,22499
1,1,1,Image of chain saw,chain saw,85838
2,2,2,Image of church,church,39876
3,3,3,Image of gas pump,gas pump,55503
4,4,4,Image of tench,tench,15701
5,5,5,Image of garbage truck,garbage truck,64202
6,6,6,Image of english springer,english springer,61720
7,7,7,Image of golf ball,golf ball,63309
8,8,8,Image of parachute,parachute,16790
9,9,9,Image of french horn,french horn,73214
0,0,0,Image of cassette player,cassette player,68617
1,1,1,Image of chain saw,chain saw,40455
2,2,2,Image of church,church,61328
3,3,3,Image of gas pump,gas pump,61987
4,4,4,Image of tench,tench,91484
5,5,5,Image of garbage truck,garbage truck,32495
6,6,6,Image of english springer,english springer,2569
7,7,7,Image of golf ball,golf ball,92664
8,8,8,Image of parachute,parachute,67029
9,9,9,Image of french horn,french horn,25044
0,0,0,Image of cassette player,cassette player,26287
1,1,1,Image of chain saw,chain saw,92989
2,2,2,Image of church,church,72073
3,3,3,Image of gas pump,gas pump,60356
4,4,4,Image of tench,tench,78364
5,5,5,Image of garbage truck,garbage truck,73883
6,6,6,Image of english springer,english springer,45965
7,7,7,Image of golf ball,golf ball,54537
8,8,8,Image of parachute,parachute,94516
9,9,9,Image of french horn,french horn,71069
0,0,0,Image of cassette player,cassette player,72711
1,1,1,Image of chain saw,chain saw,9579
2,2,2,Image of church,church,27445
3,3,3,Image of gas pump,gas pump,89242
4,4,4,Image of tench,tench,36131
5,5,5,Image of garbage truck,garbage truck,19671
6,6,6,Image of english springer,english springer,29749
7,7,7,Image of golf ball,golf ball,40523
8,8,8,Image of parachute,parachute,90261
9,9,9,Image of french horn,french horn,47468
0,0,0,Image of cassette player,cassette player,49469
1,1,1,Image of chain saw,chain saw,84394
2,2,2,Image of church,church,21798
3,3,3,Image of gas pump,gas pump,12453
4,4,4,Image of tench,tench,93850
5,5,5,Image of garbage truck,garbage truck,87518
6,6,6,Image of english springer,english springer,27120
7,7,7,Image of golf ball,golf ball,69466
8,8,8,Image of parachute,parachute,39212
9,9,9,Image of french horn,french horn,98706
0,0,0,Image of cassette player,cassette player,76255
1,1,1,Image of chain saw,chain saw,20886
2,2,2,Image of church,church,11730
3,3,3,Image of gas pump,gas pump,73783
4,4,4,Image of tench,tench,60019
5,5,5,Image of garbage truck,garbage truck,22746
6,6,6,Image of english springer,english springer,37098
7,7,7,Image of golf ball,golf ball,745
8,8,8,Image of parachute,parachute,96440
9,9,9,Image of french horn,french horn,31919
0,0,0,Image of cassette player,cassette player,45951
1,1,1,Image of chain saw,chain saw,38018
2,2,2,Image of church,church,21018
3,3,3,Image of gas pump,gas pump,83076
4,4,4,Image of tench,tench,20533
5,5,5,Image of garbage truck,garbage truck,29348
6,6,6,Image of english springer,english springer,3689
7,7,7,Image of golf ball,golf ball,60657
8,8,8,Image of parachute,parachute,2403
9,9,9,Image of french horn,french horn,6183
0,0,0,Image of cassette player,cassette player,16035
1,1,1,Image of chain saw,chain saw,55224
2,2,2,Image of church,church,7422
3,3,3,Image of gas pump,gas pump,3060
4,4,4,Image of tench,tench,53432
5,5,5,Image of garbage truck,garbage truck,19492
6,6,6,Image of english springer,english springer,39274
7,7,7,Image of golf ball,golf ball,92589
8,8,8,Image of parachute,parachute,83269
9,9,9,Image of french horn,french horn,25846
0,0,0,Image of cassette player,cassette player,62727
1,1,1,Image of chain saw,chain saw,63222
2,2,2,Image of church,church,36592
3,3,3,Image of gas pump,gas pump,8770
4,4,4,Image of tench,tench,36241
5,5,5,Image of garbage truck,garbage truck,55142
6,6,6,Image of english springer,english springer,43815
7,7,7,Image of golf ball,golf ball,46298
8,8,8,Image of parachute,parachute,39666
9,9,9,Image of french horn,french horn,29289
0,0,0,Image of cassette player,cassette player,75628
1,1,1,Image of chain saw,chain saw,57562
2,2,2,Image of church,church,80104
3,3,3,Image of gas pump,gas pump,25717
4,4,4,Image of tench,tench,86435
5,5,5,Image of garbage truck,garbage truck,25390
6,6,6,Image of english springer,english springer,17867
7,7,7,Image of golf ball,golf ball,58589
8,8,8,Image of parachute,parachute,29797
9,9,9,Image of french horn,french horn,11825
0,0,0,Image of cassette player,cassette player,14543
1,1,1,Image of chain saw,chain saw,2870
2,2,2,Image of church,church,15170
3,3,3,Image of gas pump,gas pump,22674
4,4,4,Image of tench,tench,78255
5,5,5,Image of garbage truck,garbage truck,88337
6,6,6,Image of english springer,english springer,7897
7,7,7,Image of golf ball,golf ball,67447
8,8,8,Image of parachute,parachute,24374
9,9,9,Image of french horn,french horn,80605
0,0,0,Image of cassette player,cassette player,62701
1,1,1,Image of chain saw,chain saw,23943
2,2,2,Image of church,church,76889
3,3,3,Image of gas pump,gas pump,4511
4,4,4,Image of tench,tench,3844
5,5,5,Image of garbage truck,garbage truck,90120
6,6,6,Image of english springer,english springer,21813
7,7,7,Image of golf ball,golf ball,27231
8,8,8,Image of parachute,parachute,11349
9,9,9,Image of french horn,french horn,27708
0,0,0,Image of cassette player,cassette player,63057
1,1,1,Image of chain saw,chain saw,67693
2,2,2,Image of church,church,32839
3,3,3,Image of gas pump,gas pump,73983
4,4,4,Image of tench,tench,13868
5,5,5,Image of garbage truck,garbage truck,40914
6,6,6,Image of english springer,english springer,8274
7,7,7,Image of golf ball,golf ball,10600
8,8,8,Image of parachute,parachute,53069
9,9,9,Image of french horn,french horn,74609
0,0,0,Image of cassette player,cassette player,60259
1,1,1,Image of chain saw,chain saw,99735
2,2,2,Image of church,church,43847
3,3,3,Image of gas pump,gas pump,40970
4,4,4,Image of tench,tench,45013
5,5,5,Image of garbage truck,garbage truck,20222
6,6,6,Image of english springer,english springer,4354
7,7,7,Image of golf ball,golf ball,71541
8,8,8,Image of parachute,parachute,11322
9,9,9,Image of french horn,french horn,56539
0,0,0,Image of cassette player,cassette player,6575
1,1,1,Image of chain saw,chain saw,76339
2,2,2,Image of church,church,68071
3,3,3,Image of gas pump,gas pump,45167
4,4,4,Image of tench,tench,36402
5,5,5,Image of garbage truck,garbage truck,59228
6,6,6,Image of english springer,english springer,85510
7,7,7,Image of golf ball,golf ball,49932
8,8,8,Image of parachute,parachute,30063
9,9,9,Image of french horn,french horn,78544
0,0,0,Image of cassette player,cassette player,68182
1,1,1,Image of chain saw,chain saw,34143
2,2,2,Image of church,church,58892
3,3,3,Image of gas pump,gas pump,74262
4,4,4,Image of tench,tench,81989
5,5,5,Image of garbage truck,garbage truck,99461
6,6,6,Image of english springer,english springer,98219
7,7,7,Image of golf ball,golf ball,66146
8,8,8,Image of parachute,parachute,19468
9,9,9,Image of french horn,french horn,80286
0,0,0,Image of cassette player,cassette player,537
1,1,1,Image of chain saw,chain saw,62615
2,2,2,Image of church,church,7657
3,3,3,Image of gas pump,gas pump,38749
4,4,4,Image of tench,tench,97531
5,5,5,Image of garbage truck,garbage truck,69329
6,6,6,Image of english springer,english springer,21102
7,7,7,Image of golf ball,golf ball,3739
8,8,8,Image of parachute,parachute,1217
9,9,9,Image of french horn,french horn,39704
0,0,0,Image of cassette player,cassette player,1784
1,1,1,Image of chain saw,chain saw,875
2,2,2,Image of church,church,54958
3,3,3,Image of gas pump,gas pump,95718
4,4,4,Image of tench,tench,3267
5,5,5,Image of garbage truck,garbage truck,51303
6,6,6,Image of english springer,english springer,96886
7,7,7,Image of golf ball,golf ball,5315
8,8,8,Image of parachute,parachute,22857
9,9,9,Image of french horn,french horn,30151
0,0,0,Image of cassette player,cassette player,22831
1,1,1,Image of chain saw,chain saw,78233
2,2,2,Image of church,church,89012
3,3,3,Image of gas pump,gas pump,71084
4,4,4,Image of tench,tench,87104
5,5,5,Image of garbage truck,garbage truck,34812
6,6,6,Image of english springer,english springer,5747
7,7,7,Image of golf ball,golf ball,66520
8,8,8,Image of parachute,parachute,16370
9,9,9,Image of french horn,french horn,20789
0,0,0,Image of cassette player,cassette player,88065
1,1,1,Image of chain saw,chain saw,38449
2,2,2,Image of church,church,76604
3,3,3,Image of gas pump,gas pump,87257
4,4,4,Image of tench,tench,76096
5,5,5,Image of garbage truck,garbage truck,20168
6,6,6,Image of english springer,english springer,94735
7,7,7,Image of golf ball,golf ball,94998
8,8,8,Image of parachute,parachute,36119
9,9,9,Image of french horn,french horn,75810
0,0,0,Image of cassette player,cassette player,42834
1,1,1,Image of chain saw,chain saw,69482
2,2,2,Image of church,church,46364
3,3,3,Image of gas pump,gas pump,47873
4,4,4,Image of tench,tench,99572
5,5,5,Image of garbage truck,garbage truck,86533
6,6,6,Image of english springer,english springer,38978
7,7,7,Image of golf ball,golf ball,44492
8,8,8,Image of parachute,parachute,61688
9,9,9,Image of french horn,french horn,31541
0,0,0,Image of cassette player,cassette player,21051
1,1,1,Image of chain saw,chain saw,9766
2,2,2,Image of church,church,85638
3,3,3,Image of gas pump,gas pump,53669
4,4,4,Image of tench,tench,47883
5,5,5,Image of garbage truck,garbage truck,60166
6,6,6,Image of english springer,english springer,35759
7,7,7,Image of golf ball,golf ball,52909
8,8,8,Image of parachute,parachute,68911
9,9,9,Image of french horn,french horn,48453
0,0,0,Image of cassette player,cassette player,62968
1,1,1,Image of chain saw,chain saw,38119
2,2,2,Image of church,church,22111
3,3,3,Image of gas pump,gas pump,96896
4,4,4,Image of tench,tench,19275
5,5,5,Image of garbage truck,garbage truck,67107
6,6,6,Image of english springer,english springer,66657
7,7,7,Image of golf ball,golf ball,86267
8,8,8,Image of parachute,parachute,64226
9,9,9,Image of french horn,french horn,79011
0,0,0,Image of cassette player,cassette player,81451
1,1,1,Image of chain saw,chain saw,5842
2,2,2,Image of church,church,85133
3,3,3,Image of gas pump,gas pump,8269
4,4,4,Image of tench,tench,97114
5,5,5,Image of garbage truck,garbage truck,70775
6,6,6,Image of english springer,english springer,5692
7,7,7,Image of golf ball,golf ball,54972
8,8,8,Image of parachute,parachute,75687
9,9,9,Image of french horn,french horn,63435
0,0,0,Image of cassette player,cassette player,69130
1,1,1,Image of chain saw,chain saw,1753
2,2,2,Image of church,church,18444
3,3,3,Image of gas pump,gas pump,33225
4,4,4,Image of tench,tench,29832
5,5,5,Image of garbage truck,garbage truck,38221
6,6,6,Image of english springer,english springer,64201
7,7,7,Image of golf ball,golf ball,42033
8,8,8,Image of parachute,parachute,91721
9,9,9,Image of french horn,french horn,34583
0,0,0,Image of cassette player,cassette player,97292
1,1,1,Image of chain saw,chain saw,16306
2,2,2,Image of church,church,73325
3,3,3,Image of gas pump,gas pump,89550
4,4,4,Image of tench,tench,92942
5,5,5,Image of garbage truck,garbage truck,34079
6,6,6,Image of english springer,english springer,39555
7,7,7,Image of golf ball,golf ball,57941
8,8,8,Image of parachute,parachute,40941
9,9,9,Image of french horn,french horn,86819
0,0,0,Image of cassette player,cassette player,4518
1,1,1,Image of chain saw,chain saw,75070
2,2,2,Image of church,church,657
3,3,3,Image of gas pump,gas pump,25650
4,4,4,Image of tench,tench,62688
5,5,5,Image of garbage truck,garbage truck,74155
6,6,6,Image of english springer,english springer,54460
7,7,7,Image of golf ball,golf ball,87179
8,8,8,Image of parachute,parachute,19157
9,9,9,Image of french horn,french horn,8950
0,0,0,Image of cassette player,cassette player,76395
1,1,1,Image of chain saw,chain saw,32330
2,2,2,Image of church,church,23828
3,3,3,Image of gas pump,gas pump,32568
4,4,4,Image of tench,tench,65947
5,5,5,Image of garbage truck,garbage truck,45101
6,6,6,Image of english springer,english springer,63027
7,7,7,Image of golf ball,golf ball,59215
8,8,8,Image of parachute,parachute,98849
9,9,9,Image of french horn,french horn,96869
0,0,0,Image of cassette player,cassette player,24632
1,1,1,Image of chain saw,chain saw,39470
2,2,2,Image of church,church,98972
3,3,3,Image of gas pump,gas pump,61812
4,4,4,Image of tench,tench,10234
5,5,5,Image of garbage truck,garbage truck,12493
6,6,6,Image of english springer,english springer,23078
7,7,7,Image of golf ball,golf ball,81030
8,8,8,Image of parachute,parachute,90312
9,9,9,Image of french horn,french horn,72493
0,0,0,Image of cassette player,cassette player,13387
1,1,1,Image of chain saw,chain saw,37481
2,2,2,Image of church,church,8021
3,3,3,Image of gas pump,gas pump,66392
4,4,4,Image of tench,tench,83528
5,5,5,Image of garbage truck,garbage truck,32549
6,6,6,Image of english springer,english springer,72351
7,7,7,Image of golf ball,golf ball,55747
8,8,8,Image of parachute,parachute,76174
9,9,9,Image of french horn,french horn,38504
0,0,0,Image of cassette player,cassette player,79808
1,1,1,Image of chain saw,chain saw,84024
2,2,2,Image of church,church,43109
3,3,3,Image of gas pump,gas pump,36767
4,4,4,Image of tench,tench,52240
5,5,5,Image of garbage truck,garbage truck,94834
6,6,6,Image of english springer,english springer,98375
7,7,7,Image of golf ball,golf ball,94192
8,8,8,Image of parachute,parachute,60528
9,9,9,Image of french horn,french horn,32660
0,0,0,Image of cassette player,cassette player,2111
1,1,1,Image of chain saw,chain saw,90302
2,2,2,Image of church,church,36556
3,3,3,Image of gas pump,gas pump,33775
4,4,4,Image of tench,tench,55272
5,5,5,Image of garbage truck,garbage truck,25679
6,6,6,Image of english springer,english springer,63778
7,7,7,Image of golf ball,golf ball,63533
8,8,8,Image of parachute,parachute,41465
9,9,9,Image of french horn,french horn,87566
0,0,0,Image of cassette player,cassette player,96608
1,1,1,Image of chain saw,chain saw,85708
2,2,2,Image of church,church,38818
3,3,3,Image of gas pump,gas pump,84192
4,4,4,Image of tench,tench,19599
5,5,5,Image of garbage truck,garbage truck,76885
6,6,6,Image of english springer,english springer,40014
7,7,7,Image of golf ball,golf ball,85354
8,8,8,Image of parachute,parachute,5712
9,9,9,Image of french horn,french horn,16680
0,0,0,Image of cassette player,cassette player,38047
1,1,1,Image of chain saw,chain saw,99510
2,2,2,Image of church,church,93798
3,3,3,Image of gas pump,gas pump,69251
4,4,4,Image of tench,tench,91921
5,5,5,Image of garbage truck,garbage truck,49779
6,6,6,Image of english springer,english springer,38417
7,7,7,Image of golf ball,golf ball,11328
8,8,8,Image of parachute,parachute,93206
9,9,9,Image of french horn,french horn,92994
0,0,0,Image of cassette player,cassette player,67199
1,1,1,Image of chain saw,chain saw,60240
2,2,2,Image of church,church,32940
3,3,3,Image of gas pump,gas pump,13030
4,4,4,Image of tench,tench,28201
5,5,5,Image of garbage truck,garbage truck,16169
6,6,6,Image of english springer,english springer,20814
7,7,7,Image of golf ball,golf ball,90657
8,8,8,Image of parachute,parachute,2172
9,9,9,Image of french horn,french horn,87779
0,0,0,Image of cassette player,cassette player,37395
1,1,1,Image of chain saw,chain saw,30676
2,2,2,Image of church,church,51359
3,3,3,Image of gas pump,gas pump,54416
4,4,4,Image of tench,tench,53660
5,5,5,Image of garbage truck,garbage truck,48003
6,6,6,Image of english springer,english springer,12406
7,7,7,Image of golf ball,golf ball,70664
8,8,8,Image of parachute,parachute,59070
9,9,9,Image of french horn,french horn,22487
0,0,0,Image of cassette player,cassette player,99674
1,1,1,Image of chain saw,chain saw,4980
2,2,2,Image of church,church,16913
3,3,3,Image of gas pump,gas pump,78671
4,4,4,Image of tench,tench,71312
5,5,5,Image of garbage truck,garbage truck,79003
6,6,6,Image of english springer,english springer,40842
7,7,7,Image of golf ball,golf ball,25355
8,8,8,Image of parachute,parachute,45522
9,9,9,Image of french horn,french horn,47581
0,0,0,Image of cassette player,cassette player,36819
1,1,1,Image of chain saw,chain saw,33321
2,2,2,Image of church,church,12333
3,3,3,Image of gas pump,gas pump,34631
4,4,4,Image of tench,tench,31718
5,5,5,Image of garbage truck,garbage truck,67990
6,6,6,Image of english springer,english springer,96118
7,7,7,Image of golf ball,golf ball,33712
8,8,8,Image of parachute,parachute,84590
9,9,9,Image of french horn,french horn,93870
0,0,0,Image of cassette player,cassette player,64476
1,1,1,Image of chain saw,chain saw,40553
2,2,2,Image of church,church,89836
3,3,3,Image of gas pump,gas pump,45197
4,4,4,Image of tench,tench,66389
5,5,5,Image of garbage truck,garbage truck,62485
6,6,6,Image of english springer,english springer,73858
7,7,7,Image of golf ball,golf ball,46932
8,8,8,Image of parachute,parachute,56417
9,9,9,Image of french horn,french horn,24187
0,0,0,Image of cassette player,cassette player,96123
1,1,1,Image of chain saw,chain saw,54832
2,2,2,Image of church,church,41127
3,3,3,Image of gas pump,gas pump,96858
4,4,4,Image of tench,tench,14124
5,5,5,Image of garbage truck,garbage truck,20779
6,6,6,Image of english springer,english springer,32715
7,7,7,Image of golf ball,golf ball,50698
8,8,8,Image of parachute,parachute,65388
9,9,9,Image of french horn,french horn,82516
0,0,0,Image of cassette player,cassette player,98834
1,1,1,Image of chain saw,chain saw,81271
2,2,2,Image of church,church,3316
3,3,3,Image of gas pump,gas pump,9176
4,4,4,Image of tench,tench,61830
5,5,5,Image of garbage truck,garbage truck,88596
6,6,6,Image of english springer,english springer,46412
7,7,7,Image of golf ball,golf ball,16292
8,8,8,Image of parachute,parachute,35416
9,9,9,Image of french horn,french horn,78629
0,0,0,Image of cassette player,cassette player,92182
1,1,1,Image of chain saw,chain saw,41233
2,2,2,Image of church,church,3935
3,3,3,Image of gas pump,gas pump,67720
4,4,4,Image of tench,tench,36607
5,5,5,Image of garbage truck,garbage truck,56016
6,6,6,Image of english springer,english springer,25624
7,7,7,Image of golf ball,golf ball,15
8,8,8,Image of parachute,parachute,27749
9,9,9,Image of french horn,french horn,18958
0,0,0,Image of cassette player,cassette player,33481
1,1,1,Image of chain saw,chain saw,73340
2,2,2,Image of church,church,55815
3,3,3,Image of gas pump,gas pump,2325
4,4,4,Image of tench,tench,327
5,5,5,Image of garbage truck,garbage truck,56621
6,6,6,Image of english springer,english springer,98067
7,7,7,Image of golf ball,golf ball,35906
8,8,8,Image of parachute,parachute,31393
9,9,9,Image of french horn,french horn,72288
0,0,0,Image of cassette player,cassette player,31329
1,1,1,Image of chain saw,chain saw,51291
2,2,2,Image of church,church,42367
3,3,3,Image of gas pump,gas pump,44756
4,4,4,Image of tench,tench,5774
5,5,5,Image of garbage truck,garbage truck,26568
6,6,6,Image of english springer,english springer,35165
7,7,7,Image of golf ball,golf ball,84544
8,8,8,Image of parachute,parachute,8501
9,9,9,Image of french horn,french horn,56654
0,0,0,Image of cassette player,cassette player,66950
1,1,1,Image of chain saw,chain saw,57309
2,2,2,Image of church,church,76580
3,3,3,Image of gas pump,gas pump,66514
4,4,4,Image of tench,tench,44394
5,5,5,Image of garbage truck,garbage truck,83472
6,6,6,Image of english springer,english springer,81207
7,7,7,Image of golf ball,golf ball,1634
8,8,8,Image of parachute,parachute,51889
9,9,9,Image of french horn,french horn,63676
0,0,0,Image of cassette player,cassette player,54618
1,1,1,Image of chain saw,chain saw,81177
2,2,2,Image of church,church,96770
3,3,3,Image of gas pump,gas pump,63430
4,4,4,Image of tench,tench,85664
5,5,5,Image of garbage truck,garbage truck,28723
6,6,6,Image of english springer,english springer,4073
7,7,7,Image of golf ball,golf ball,57927
8,8,8,Image of parachute,parachute,89277
9,9,9,Image of french horn,french horn,58037
0,0,0,Image of cassette player,cassette player,68694
1,1,1,Image of chain saw,chain saw,62296
2,2,2,Image of church,church,50863
3,3,3,Image of gas pump,gas pump,3518
4,4,4,Image of tench,tench,3629
5,5,5,Image of garbage truck,garbage truck,27834
6,6,6,Image of english springer,english springer,767
7,7,7,Image of golf ball,golf ball,39190
8,8,8,Image of parachute,parachute,6698
9,9,9,Image of french horn,french horn,4107
0,0,0,Image of cassette player,cassette player,59618
1,1,1,Image of chain saw,chain saw,52237
2,2,2,Image of church,church,33963
3,3,3,Image of gas pump,gas pump,84842
4,4,4,Image of tench,tench,90487
5,5,5,Image of garbage truck,garbage truck,21534
6,6,6,Image of english springer,english springer,25524
